accuracy,precision,recall,f1,mcc,balanced_accuracy,gmean,fbeta_2,brier,roc_auc,pr_auc,scenario,model,fold
0.9663810961693761,0.045090180360721446,0.9090909090909091,0.08591885441527446,0.19833387022702592,0.9377858745021926,0.9373467583428704,0.18812709030100336,0.03128903321060902,0.9836608882913159,0.6843862429062948,undersampling,logistic_regression,1
0.9700326533478459,0.051839464882943144,0.9393939393939394,0.098256735340729,0.21690560003170004,0.9547399677800817,0.9546166274947673,0.21232876712328766,0.030602334439159294,0.9806199092378154,0.7302858713663294,undersampling,logistic_regression,2
0.9745264303646355,0.05870841487279843,0.9183673469387755,0.11036174126302882,0.2286857537157308,0.9464952820725216,0.9460772369371615,0.23376623376623376,0.02704563468996242,0.9822783869716221,0.7017142531318411,undersampling,logistic_regression,3
0.9636066782535418,0.04176334106728538,0.9183673469387755,0.07989347536617843,0.1915951084558879,0.9410259962451822,0.9407531616852781,0.17667844522968199,0.032738349684619354,0.965912790032039,0.6946473665860515,undersampling,logistic_regression,4
0.9653095977949825,0.04239766081871345,0.8877551020408163,0.08093023255813954,0.18974375411113262,0.9265991801993119,0.9257846284844297,0.17798690671031098,0.03207726976835296,0.9721430347986406,0.6855863307707003,undersampling,logistic_regression,5
0.9858151048067132,0.09670079635949944,0.8585858585858586,0.1738241308793456,0.2854204313541507,0.922311236452242,0.9201071095811889,0.3333333333333333,0.023984599600073788,0.9788155547348696,0.6750961661945563,undersampling,svm_rbf,1
0.9880095502264667,0.1167979002624672,0.898989898989899,0.2067363530778165,0.3216518592090703,0.9435772174020244,0.9425231754375926,0.3842832469775475,0.024692901523809225,0.981248391268967,0.7184260552285923,undersampling,svm_rbf,2
0.9880971190814768,0.1164021164021164,0.8979591836734694,0.20608899297423888,0.3209349416585865,0.943105825063965,0.9420246164728077,0.3832752613240418,0.02437478750564382,0.9888279635227814,0.6826428694764556,undersampling,svm_rbf,3
0.9854286266041677,0.09513274336283185,0.8775510204081632,0.17165668662674652,0.28623509996596913,0.9315827838266482,0.9300145437917067,0.3317901234567901,0.02560931508520894,0.971632319283692,0.6504521500729886,undersampling,svm_rbf,4
0.9822861255947052,0.0778498609823911,0.8571428571428571,0.1427357689039932,0.2552564702846125,0.9198223298604917,0.9176842606309769,0.28552005438477224,0.029549142705774224,0.9810347964872248,0.6469457451289858,undersampling,svm_rbf,5
